video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=Kxe4B-dbSF4&pp=ygUJQUkgaW4gR0lT,/@JulianaMapper,Juliana Mapper,Practice GIS Interview Questions with Chat GPT and OTTER.AI,"1,6 tis. pregleda",prije 1 godinu,Are you wondering about how to level up your prep for your next interview? In this video I will walk you though how to use Chat ...,2024-01-29 03:52:37.982790
/watch?v=nxM9fjdLIC8&pp=ygUJQUkgaW4gR0lT,/@techsdlite,SUDIP DEY,INTRODUCTION To SMART CITY URBAN GIS & ARTIFICIAL INTELLIGENCE IN GEOSPATIAL PLANNING WEB💥DASHBOARDS,953 pregleda,prije 1 godinu,URBAN GIS Mapping | Top GIS Software Applications In 2022 || Geographic Information System || #GIS #iot FUNDAMENTAL OF ...,2024-01-29 03:52:37.985744
/watch?v=CQlLa_UWncg&pp=ygUJQUkgaW4gR0lT,/@Preligens,Preligens,When deep learning meets satellite imagery,103 tis. pregleda,prije 4 godine,When deep learning meets satellite imagery -- A handy guide to understanding the specificities and challenges of satellite images ...,2024-01-29 03:52:37.988831
/watch?v=20ZMPALFAE0&pp=ygUJQUkgaW4gR0lT,/@made4geek,Made 4 Geek,How to use Deep learning model in ArcGIS Pro to extract Trees and Building,12 tis. pregleda,prije 8 mjeseci,"How do I use deep learning in ArcGIS Pro, What type of deep learning model does ArcGIS Pro use, Can deep learning perform ...",2024-01-29 03:52:37.991856
/watch?v=8gzopm5QG2E&pp=ygUJQUkgaW4gR0lT,/@greenpathconsultinggroup,GREEN PATH CONSULTING GROUP,Unlock GIS Power with GeoData Insight Wizard from GPCG.ai: GIS Analysis Simplified,7 pregleda,prije 3 tjedna,"Embark on a journey of geographical discovery with the GeoData Insight Wizard, exclusively from GPCG.ai. This brief yet ...",2024-01-29 03:52:37.994671
/watch?v=mJ6rjJiIHyo&pp=ygUJQUkgaW4gR0lT,/@xprize,XPRIZE,AI for Good - Sustainability,51 tis. pregleda,prije 6 godina,AI experts predict how AIs can be used to model environmental systems so we can learn how to reduce human's impact on the ...,2024-01-29 03:52:37.997357
/watch?v=gndO5IfMr1I&pp=ygUJQUkgaW4gR0lT,/@AI-GIS,AI-GIS,Triler AI GIS,23 pregleda,prije 9 mjeseci,here's what happens when an artificial intelligence interprets thoughts dictated by people's words ..... see what can come out ...,2024-01-29 03:52:38.000243
/watch?v=p453FGnS5aA&pp=ygUJQUkgaW4gR0lT,/@SuperMapGIS,SuperMap GIS,Applications of SuperMap GIS Enhanced by AI & Big Data,260 pregleda,prije 3 godine,So we can see that if because we know that if we are going to use the big data or the AI maybe we will always need the help from ...,2024-01-29 03:52:38.003772
/watch?v=uV6eKJ3uT1s&pp=ygUJQUkgaW4gR0lT,/@ARQIsolutions,ARQIsolution studios,Deep Learning tools in Building Detection from Drone & Satellite imagery,16 tis. pregleda,prije 1 godinu,Satellite imagery and orthomosaics developed from drone imagery can contain a wealth of information. With improvements in ...,2024-01-29 03:52:38.007521
/watch?v=aGjudeTkoCQ&pp=ygUJQUkgaW4gR0lT,/@NDSpodcast,The NDS Show Podcast,Geography & GIS Education in the AI REVOLUTION & Events That Shaped Spatial Thinking JOSEPH KERSKI,268 pregleda,prije 9 mjeseci,"This podcast covers Geography Education with Artificial Intelligence, Critical Thinking for GIS professionals, the state of Ethics in ...",2024-01-29 03:52:38.012021
/watch?v=rvybtPbijQg&pp=ygUJQUkgaW4gR0lT,/@spacesium4215,Spacesium,"Breaking the Boundaries Integrating GIS, AI, and Lidar for Digital Innovation",58 pregleda,prije 3 mjeseca,"Presented at MATLAB EXPO 2023 by Hong Tran, founder and GIS Engineer at Spacesium. A key component of the digital ...",2024-01-29 03:52:38.015951
/watch?v=Cx5aNwnZYDc&pp=ygUJQUkgaW4gR0lT,/@geospatialmedia,Geospatial World,How will Artificial Intelligence and Internet of Things change the world?,248 tis. pregleda,prije 6 godina,gis #AI #IoT Video Courtesy- 1. TIA NOW 2. LinkedIn Learning Solutions 3. AT&T Business 4. Qualcomm 5. Prime Minister's Office ...,2024-01-29 03:52:38.018922
/watch?v=KoLAlcBv290&pp=ygUJQUkgaW4gR0lT,/@spatialelearning,Spatial eLearning,Full Course - Python for Geospatial Data Analysis for Beginners,31 tis. pregleda,prije 1 godinu,This tutorial will show the use of Python for geospatial data analysis at the beginner level. Subscribe for more tutorials: ...,2024-01-29 03:52:38.021598
/watch?v=agIPQPbH6KE&pp=ygUJQUkgaW4gR0lT,/@joeyvierra851,Joey Vierra,AI and GIS Fusion Capabilities in Sustainable Urban Planning,5 pregleda,prije 3 tjedna,A brief summary of how generative AI and Geographic informations systems can be paired to create easier and more efficient ...,2024-01-29 03:52:45.933901
/watch?v=71GWm0Sd6kw&pp=ygUJQUkgaW4gR0lT,/@questions-answersbychloe5249,Questions-Answers by Chloe,How Can AI Enhance Real-time Geomorphology Models in GIS?,4 pregleda,prije 3 mjeseca,AI Revolutionizes Real-time Geomorphology Models in GIS • AI in Geomorphology Models • Discover how Artificial Intelligence ...,2024-01-29 03:52:45.935431
/watch?v=Kx1R8h4MLxM&pp=ygUJQUkgaW4gR0lT,/@forefrontdesignspecialist8743,Forefront Design Specialist,Route Mapper AI for Alignment Sheets & GIS,64 pregleda,prije 2 godine,Route Mapper AI auto-builds complete engineering design construction deliverables and database management. The geospatial ...,2024-01-29 03:52:45.936706
/watch?v=vlA5n_TTkgI&pp=ygUJQUkgaW4gR0lT,/@p.p.k5770,P.P.K,A.I  in GIS,6 pregleda,prije 2 godine,شرکت پیمایش و پردازش کیهانی نماینده رسمی شرکت سوپر مپ در ایران وبسایت : WWW.sm-gis.ir کانال تلگرام : https://t.me/PPK_IR.,2024-01-29 03:52:45.939195
/watch?v=Gy1FeLJcIFM&pp=ygUJQUkgaW4gR0lT,/@TanzaniteAI,Tanzanite AI,AI-GIS Fusion for Superior Insights: Powerful Technologies | Tanzanite AI,29 pregleda,prije 5 mjeseci,"At first glance, one might wonder about the connection between Artificial Intelligence (AI) and Geographic Information Systems ...",2024-01-29 03:52:45.940520
/watch?v=9VEgcykm3Rw&pp=ygUJQUkgaW4gR0lT,/@tensorminds1533,Tensorminds,planetSCAN™ - AI Powered GIS System,59 pregleda,prije 8 mjeseci,"250 Square Meter Level Global Population. Area Socio Economic Classification. Area Settlement Types, Area Disposable Income.",2024-01-29 03:52:45.942925
/watch?v=HYVbQTAzN3k&pp=ygUJQUkgaW4gR0lT,/@SeekShowSchool,Seek Show School,The Amazing Power Of GIS: Limitless Possibilities For Ai,165 pregleda,prije 8 mjeseci,"Seekshow #Subscribe Welcome to Seek Show School, your ultimate destination for all things GIS and Remote Sensing! Join us ...",2024-01-29 03:52:45.944812
/watch?v=JVizDjlN73c&pp=ygUJQUkgaW4gR0lT,/@esri_arcgis,ArcGIS,Deep Learning in ArcGIS Pro Start to Finish,12 tis. pregleda,prije 11 mjeseci,This video outlines the general deep learning workflow in ArcGIS Pro and demystifies parts of the process for GIS users by ...,2024-01-29 03:52:45.946484
/watch?v=aJYx6XhVXzk&pp=ygUJQUkgaW4gR0lT,/@taiwan_space_union,TSU臺灣太空科學聯盟 (Taiwan Space Union),【GIS Online Course - 6】Prof. Ming-Der Yang - AI Remote Sensing in Smart Agriculture and Sustain...,67 pregleda,prije 9 mjeseci,"https://www.holkee.com/tsu-sos3-gis-home ""Geographic Information System Online Course"" Date: Mar. 06 ~ Apr. 17, 2023 ...",2024-01-29 03:52:45.947752
/watch?v=EQ5R--QC0GU&pp=ygUJQUkgaW4gR0lT,/@tensorminds1533,Tensorminds,New* planetSCAN™ - AI Powered GIS System,99 pregleda,prije 5 mjeseci,"Global population data at the 250 square meter level, including socio-economic classification, settlement types, and disposable ...",2024-01-29 03:52:45.948999
/watch?v=fJuj2aRGXKI&pp=ygUJQUkgaW4gR0lT,/@zmadscientist,Bob Chesebrough,AI Model to Predict Dinosaur Hunting Grounds - IBM Power AI Vision GIS use case,142 pregleda,prije 4 godine,"Sons, Ben and Sam Chesebrough , get excited about Jurassic bones we have found! Next we built an AI model to make the ...",2024-01-29 03:52:45.950246
/watch?v=A0zXOZHV3uU&pp=ygUJQUkgaW4gR0lT,/@RoadMetrics,RoadMetrics,RoadMetrics AI Webinar: Web-based GIS Platform Overview,49 pregleda,prije 9 mjeseci,"Our recently concluded webinar on ""AI in the Highways Sector"" helped our viewers in the road maintenance field get a better ...",2024-01-29 03:52:45.951504
